,0,1,2,3
0,0.0,2.0,1.1,1.5
1,1.0,2.0,0.5,2.7
2,3.0,1.0,2.6,1.1
3,3.0,0.0,1.8,1.2
4,3.0,1.0,1.4,2.0
5,3.0,0.0,1.0,2.0
6,0.0,1.0,0.7,2.4
7,0.0,2.0,1.5,1.3
8,1.0,2.0,1.8,1.5
9,0.0,2.0,0.6,2.3
10,3.0,1.0,1.9,1.3
11,1.0,0.0,1.8,1.4
12,1.0,2.0,1.9,2.2
13,3.0,0.0,2.8,0.4
14,1.0,0.0,1.5,1.3
15,3.0,2.0,1.8,1.2
16,3.0,0.0,1.4,1.9
17,3.0,0.0,1.2,1.9
18,1.0,2.0,1.4,0.9
19,1.0,1.0,2.0,0.6
20,3.0,0.0,2.0,1.1
21,0.0,2.0,2.4,1.7
22,3.0,2.0,1.4,2.0
23,1.0,1.0,1.7,1.5
24,3.0,1.0,1.3,1.5
25,0.0,3.0,0.9,2.4
26,0.0,2.0,1.2,1.6
27,3.0,0.0,0.8,2.6
28,1.0,3.0,0.5,2.2
29,3.0,1.0,0.8,2.2
30,0.0,1.0,1.5,2.4
31,3.0,2.0,2.2,0.6
32,3.0,0.0,2.9,0.6
33,3.0,1.0,2.2,1.0
34,3.0,0.0,2.0,1.2
35,1.0,1.0,2.0,1.6
36,3.0,1.0,2.3,1.0
37,1.0,1.0,1.4,1.5
38,0.0,1.0,1.7,1.4
39,0.0,2.0,0.9,2.4
40,1.0,1.0,1.7,1.7
41,3.0,1.0,1.0,1.9
42,3.0,1.0,0.9,2.7
43,1.0,1.0,1.8,1.8
44,3.0,0.0,3.0,0.6
45,1.0,0.0,1.1,2.2
46,3.0,1.0,1.9,1.1
47,1.0,1.0,1.1,2.0
48,3.0,1.0,2.3,0.7
49,0.0,1.0,1.6,2.0
50,1.0,0.0,0.7,2.8
51,3.0,0.0,1.9,1.4
52,3.0,1.0,2.5,1.0
53,0.0,3.0,1.8,1.6
54,1.0,0.0,1.5,1.5
55,3.0,1.0,1.9,1.0
56,3.0,2.0,2.1,1.7
57,1.0,1.0,0.7,2.6
58,3.0,2.0,1.8,1.3
59,3.0,1.0,1.2,1.8
60,3.0,1.0,0.9,2.4
61,1.0,1.0,1.4,1.6
62,3.0,2.0,1.9,1.0
63,3.0,0.0,2.2,1.1
64,3.0,0.0,2.1,0.7
65,0.0,2.0,1.7,2.4
66,0.0,2.0,1.6,2.0
67,3.0,1.0,2.2,1.6
68,0.0,2.0,1.0,2.5
69,0.0,5.0,1.4,1.5
70,0.0,3.0,1.5,2.0
71,3.0,0.0,2.2,1.4
72,0.0,3.0,0.7,2.4
73,1.0,1.0,2.4,1.1
74,3.0,2.0,2.6,1.4
75,0.0,3.0,1.4,2.2
76,3.0,0.0,1.6,1.8
77,1.0,2.0,2.3,1.4
78,3.0,0.0,1.6,1.2
79,1.0,0.0,0.9,1.6
80,3.0,1.0,1.7,1.6
81,0.0,2.0,1.7,1.9
82,1.0,3.0,1.8,0.7
83,0.0,4.0,1.4,1.9
84,0.0,2.0,1.0,1.8
85,1.0,0.0,1.4,2.6
86,3.0,0.0,1.4,1.5
87,3.0,3.0,2.5,0.9
88,1.0,0.0,1.5,2.2
89,3.0,0.0,2.4,1.7
90,3.0,1.0,1.8,1.6
91,3.0,0.0,3.8,0.8
92,3.0,0.0,1.9,0.9
93,3.0,1.0,1.6,2.5
94,0.0,1.0,1.6,1.8
95,3.0,1.0,1.9,1.6
96,3.0,1.0,1.9,1.5
