index,equipe,pos
734,Botafogo,1
735,Bragantino,2
736,Palmeiras,3
737,Grêmio,4
738,Mineiro,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,Fortaleza,9
743,São Paulo,10
744,Corinthians,11
745,Cruzeiro,12
746,Internacional,13
747,Cuiabá EC,14
748,Santos,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Bragantino,2
736,Grêmio,3
737,Palmeiras,4
738,Mineiro,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,São Paulo,9
743,Fortaleza,10
744,Internacional,11
745,Cuiabá EC,12
746,Corinthians,13
747,Santos,14
748,Cruzeiro,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Palmeiras,2
736,Bragantino,3
737,Grêmio,4
738,Mineiro,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,São Paulo,9
743,Fortaleza,10
744,Corinthians,11
745,Cuiabá EC,12
746,Internacional,13
747,Santos,14
748,Cruzeiro,15
749,Bahia,16
750,Goiás,17
751,Vasco da Gama,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Bragantino,2
736,Palmeiras,3
737,Mineiro,4
738,Grêmio,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,São Paulo,9
743,Fortaleza,10
744,Cuiabá EC,11
745,Corinthians,12
746,Internacional,13
747,Santos,14
748,Cruzeiro,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Palmeiras,2
736,Bragantino,3
737,Grêmio,4
738,Mineiro,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,Fortaleza,9
743,São Paulo,10
744,Internacional,11
745,Cuiabá EC,12
746,Corinthians,13
747,Santos,14
748,Cruzeiro,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,América (MG),19
753,Coritiba,20
734,Botafogo,1
735,Palmeiras,2
736,Bragantino,3
737,Grêmio,4
738,Mineiro,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,Fortaleza,9
743,São Paulo,10
744,Corinthians,11
745,Internacional,12
746,Cuiabá EC,13
747,Santos,14
748,Cruzeiro,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Bragantino,2
736,Palmeiras,3
737,Grêmio,4
738,Flamengo,5
739,Mineiro,6
740,Paranaense,7
741,São Paulo,8
742,Fluminense,9
743,Fortaleza,10
744,Internacional,11
745,Cuiabá EC,12
746,Corinthians,13
747,Cruzeiro,14
748,Santos,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Bragantino,2
736,Palmeiras,3
737,Mineiro,4
738,Grêmio,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,São Paulo,9
743,Fortaleza,10
744,Cuiabá EC,11
745,Corinthians,12
746,Cruzeiro,13
747,Internacional,14
748,Santos,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Bragantino,2
736,Palmeiras,3
737,Grêmio,4
738,Mineiro,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,São Paulo,9
743,Fortaleza,10
744,Corinthians,11
745,Cuiabá EC,12
746,Cruzeiro,13
747,Internacional,14
748,Santos,15
749,Bahia,16
750,Goiás,17
751,Vasco da Gama,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Bragantino,2
736,Palmeiras,3
737,Grêmio,4
738,Mineiro,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,São Paulo,9
743,Fortaleza,10
744,Corinthians,11
745,Cuiabá EC,12
746,Cruzeiro,13
747,Internacional,14
748,Santos,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Palmeiras,2
736,Bragantino,3
737,Mineiro,4
738,Grêmio,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,São Paulo,9
743,Fortaleza,10
744,Cuiabá EC,11
745,Corinthians,12
746,Internacional,13
747,Santos,14
748,Cruzeiro,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Bragantino,2
736,Palmeiras,3
737,Grêmio,4
738,Mineiro,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,São Paulo,9
743,Fortaleza,10
744,Corinthians,11
745,Cuiabá EC,12
746,Internacional,13
747,Santos,14
748,Cruzeiro,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Palmeiras,2
736,Bragantino,3
737,Mineiro,4
738,Grêmio,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,São Paulo,9
743,Fortaleza,10
744,Cuiabá EC,11
745,Corinthians,12
746,Cruzeiro,13
747,Internacional,14
748,Santos,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
735,Palmeiras,2
736,Bragantino,3
737,Grêmio,4
738,Mineiro,5
739,Flamengo,6
740,Paranaense,7
741,Fluminense,8
742,São Paulo,9
743,Fortaleza,10
744,Corinthians,11
745,Cuiabá EC,12
746,Internacional,13
747,Santos,14
748,Cruzeiro,15
749,Bahia,16
750,Vasco da Gama,17
751,Goiás,18
752,Coritiba,19
753,América (MG),20
734,Botafogo,1
