index,equipe,pos
738,Botafogo,1
739,Bragantino,2
740,Grêmio,3
741,Palmeiras,4
742,Paranaense,5
743,Fluminense,6
744,Flamengo,7
745,Fortaleza,8
746,Cruzeiro,9
747,Mineiro,10
748,Internacional,11
749,Cuiabá EC,12
750,Corinthians,13
751,São Paulo,14
752,Vasco da Gama,15
753,Goiás,16
754,Bahia,17
755,Santos,18
756,América (MG),19
757,Coritiba,20
738,Botafogo,1
739,Bragantino,2
740,Palmeiras,3
741,Flamengo,4
742,Fortaleza,5
743,Fluminense,6
744,São Paulo,7
745,Grêmio,8
746,Mineiro,9
747,Corinthians,10
748,Paranaense,11
749,Cruzeiro,12
750,Internacional,13
751,Cuiabá EC,14
752,Goiás,15
753,Vasco da Gama,16
754,Santos,17
755,Bahia,18
756,Coritiba,19
757,América (MG),20
738,Botafogo,1
739,Palmeiras,2
740,Fortaleza,3
741,Flamengo,4
742,Bragantino,5
743,Grêmio,6
744,Mineiro,7
745,Fluminense,8
746,Paranaense,9
747,São Paulo,10
748,Corinthians,11
749,Cruzeiro,12
750,Santos,13
751,Vasco da Gama,14
752,Cuiabá EC,15
753,Bahia,16
754,América (MG),17
755,Goiás,18
756,Internacional,19
757,Coritiba,20
738,Botafogo,1
739,Grêmio,2
740,Paranaense,3
741,Bragantino,4
742,Palmeiras,5
743,Flamengo,6
744,Fluminense,7
745,Fortaleza,8
746,Mineiro,9
747,Cuiabá EC,10
748,Internacional,11
749,São Paulo,12
750,Goiás,13
751,Corinthians,14
752,Santos,15
753,Cruzeiro,16
754,Bahia,17
755,Vasco da Gama,18
756,Coritiba,19
757,América (MG),20
738,Botafogo,1
739,Bragantino,2
740,Palmeiras,3
741,Grêmio,4
742,Flamengo,5
743,São Paulo,6
744,Fluminense,7
745,Mineiro,8
746,Fortaleza,9
747,Paranaense,10
748,Cuiabá EC,11
749,Cruzeiro,12
750,Corinthians,13
751,Santos,14
752,Internacional,15
753,Bahia,16
754,Goiás,17
755,Vasco da Gama,18
756,América (MG),19
757,Coritiba,20
738,Botafogo,1
739,Bragantino,2
740,Fortaleza,3
741,Flamengo,4
742,Grêmio,5
743,Fluminense,6
744,Mineiro,7
745,Palmeiras,8
746,Internacional,9
747,Paranaense,10
748,São Paulo,11
749,Santos,12
750,Goiás,13
751,Cuiabá EC,14
752,Vasco da Gama,15
753,Corinthians,16
754,Cruzeiro,17
755,Bahia,18
756,Coritiba,19
757,América (MG),20
738,Botafogo,1
739,Palmeiras,2
740,Fluminense,3
741,Bragantino,4
742,Grêmio,5
743,Paranaense,6
744,Fortaleza,7
745,São Paulo,8
746,Mineiro,9
747,Flamengo,10
748,Cruzeiro,11
749,Internacional,12
750,Corinthians,13
751,Goiás,14
752,Cuiabá EC,15
753,Santos,16
754,Vasco da Gama,17
755,Bahia,18
756,América (MG),19
757,Coritiba,20
738,Botafogo,1
739,Fluminense,2
740,Bragantino,3
741,Flamengo,4
742,Grêmio,5
743,Fortaleza,6
744,Paranaense,7
745,Cuiabá EC,8
746,Palmeiras,9
747,Mineiro,10
748,Bahia,11
749,São Paulo,12
750,Santos,13
751,Cruzeiro,14
752,Corinthians,15
753,Internacional,16
754,Vasco da Gama,17
755,Goiás,18
756,Coritiba,19
757,América (MG),20
738,Bragantino,1
739,Botafogo,2
740,Mineiro,3
741,Palmeiras,4
742,Fortaleza,5
743,Paranaense,6
744,Grêmio,7
745,Flamengo,8
746,São Paulo,9
747,Santos,10
748,Fluminense,11
749,Bahia,12
750,Goiás,13
751,Corinthians,14
752,Vasco da Gama,15
753,Cruzeiro,16
754,Cuiabá EC,17
755,Internacional,18
756,América (MG),19
757,Coritiba,20
738,Botafogo,1
