index,equipe,pos
693,Grêmio,1
694,Botafogo,2
695,Palmeiras,3
696,Bragantino,4
697,Flamengo,5
698,Mineiro,6
699,Paranaense,7
700,Fluminense,8
701,Santos,9
702,Cuiabá EC,10
703,Fortaleza,11
704,Corinthians,12
705,São Paulo,13
706,Bahia,14
707,Internacional,15
708,Cruzeiro,16
709,Goiás,17
710,Vasco da Gama,18
711,América (MG),19
712,Coritiba,20
693,Botafogo,1
694,Palmeiras,2
695,Mineiro,3
696,Bragantino,4
697,Grêmio,5
698,Paranaense,6
699,Flamengo,7
700,São Paulo,8
701,Fluminense,9
702,Corinthians,10
703,Santos,11
704,Cuiabá EC,12
705,Bahia,13
706,Fortaleza,14
707,Internacional,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Palmeiras,1
694,Botafogo,2
695,Bragantino,3
696,Mineiro,4
697,Flamengo,5
698,Grêmio,6
699,Paranaense,7
700,São Paulo,8
701,Cuiabá EC,9
702,Fortaleza,10
703,Santos,11
704,Fluminense,12
705,Corinthians,13
706,Bahia,14
707,Internacional,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Botafogo,1
694,Mineiro,2
695,Palmeiras,3
696,Bragantino,4
697,Grêmio,5
698,Paranaense,6
699,Flamengo,7
700,Corinthians,8
701,Fluminense,9
702,São Paulo,10
703,Internacional,11
704,Cuiabá EC,12
705,Fortaleza,13
706,Santos,14
707,Bahia,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Bragantino,1
694,Botafogo,2
695,Palmeiras,3
696,Grêmio,4
697,Mineiro,5
698,Flamengo,6
699,Paranaense,7
700,Fluminense,8
701,Bahia,9
702,Cuiabá EC,10
703,São Paulo,11
704,Internacional,12
705,Fortaleza,13
706,Santos,14
707,Corinthians,15
708,Vasco da Gama,16
709,Cruzeiro,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Botafogo,1
694,Mineiro,2
695,Bragantino,3
696,Palmeiras,4
697,Flamengo,5
698,Grêmio,6
699,Paranaense,7
700,Fluminense,8
701,Corinthians,9
702,São Paulo,10
703,Cuiabá EC,11
704,Fortaleza,12
705,Santos,13
706,Bahia,14
707,Internacional,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Botafogo,1
694,Mineiro,2
695,Grêmio,3
696,Palmeiras,4
697,Bragantino,5
698,Flamengo,6
699,Paranaense,7
700,Cuiabá EC,8
701,Santos,9
702,Fluminense,10
703,Bahia,11
704,Corinthians,12
705,São Paulo,13
706,Internacional,14
707,Fortaleza,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,América (MG),18
711,Goiás,19
712,Coritiba,20
693,Palmeiras,1
694,Botafogo,2
695,Mineiro,3
696,Bragantino,4
697,Flamengo,5
698,Grêmio,6
699,Paranaense,7
700,Fluminense,8
701,São Paulo,9
702,Fortaleza,10
703,Corinthians,11
704,Cruzeiro,12
705,Cuiabá EC,13
706,Santos,14
707,Bahia,15
708,Internacional,16
709,Goiás,17
710,Vasco da Gama,18
711,Coritiba,19
712,América (MG),20
693,Grêmio,1
694,Botafogo,2
695,Palmeiras,3
696,Bragantino,4
697,Mineiro,5
698,Flamengo,6
699,Paranaense,7
700,Corinthians,8
701,Fluminense,9
702,São Paulo,10
703,Cuiabá EC,11
704,Santos,12
705,Bahia,13
706,Fortaleza,14
707,Internacional,15
708,Cruzeiro,16
709,Goiás,17
710,Vasco da Gama,18
711,Coritiba,19
712,América (MG),20
693,Bragantino,1
694,Botafogo,2
695,Grêmio,3
696,Palmeiras,4
697,Mineiro,5
698,Flamengo,6
699,Paranaense,7
700,Fortaleza,8
701,Fluminense,9
702,Cuiabá EC,10
703,São Paulo,11
704,Corinthians,12
705,Internacional,13
706,Bahia,14
707,Santos,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Palmeiras,1
694,Grêmio,2
695,Botafogo,3
696,Mineiro,4
697,Bragantino,5
698,Flamengo,6
699,Paranaense,7
700,Fortaleza,8
701,Santos,9
702,Cuiabá EC,10
703,São Paulo,11
704,Fluminense,12
705,Internacional,13
706,Corinthians,14
707,Bahia,15
708,Vasco da Gama,16
709,Cruzeiro,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Botafogo,1
694,Grêmio,2
695,Bragantino,3
696,Palmeiras,4
697,Flamengo,5
698,Mineiro,6
699,Paranaense,7
700,Fluminense,8
701,Fortaleza,9
702,Corinthians,10
703,Bahia,11
704,Santos,12
705,São Paulo,13
706,Cuiabá EC,14
707,Internacional,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Mineiro,1
694,Bragantino,2
695,Palmeiras,3
696,Botafogo,4
697,Flamengo,5
698,Grêmio,6
699,Paranaense,7
700,São Paulo,8
701,Fluminense,9
702,Bahia,10
703,Cuiabá EC,11
704,Corinthians,12
705,Fortaleza,13
706,Santos,14
707,Internacional,15
708,Vasco da Gama,16
709,Cruzeiro,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Grêmio,1
694,Mineiro,2
695,Bragantino,3
696,Palmeiras,4
697,Botafogo,5
698,Paranaense,6
699,Flamengo,7
700,Fluminense,8
701,Cuiabá EC,9
702,São Paulo,10
703,Fortaleza,11
704,Santos,12
705,Corinthians,13
706,Cruzeiro,14
707,Bahia,15
708,Internacional,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Grêmio,1
694,Botafogo,2
695,Palmeiras,3
696,Bragantino,4
697,Flamengo,5
698,Mineiro,6
699,Paranaense,7
700,São Paulo,8
701,Cuiabá EC,9
702,Fortaleza,10
703,Fluminense,11
704,Bahia,12
705,Corinthians,13
706,Santos,14
707,Internacional,15
708,Cruzeiro,16
709,Goiás,17
710,Vasco da Gama,18
711,Coritiba,19
712,América (MG),20
693,Botafogo,1
694,Bragantino,2
695,Palmeiras,3
696,Mineiro,4
697,Grêmio,5
698,Paranaense,6
699,Flamengo,7
700,Corinthians,8
701,Fluminense,9
702,Bahia,10
703,Fortaleza,11
704,Cuiabá EC,12
705,São Paulo,13
706,Internacional,14
707,Santos,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Botafogo,1
694,Palmeiras,2
695,Bragantino,3
696,Mineiro,4
697,Grêmio,5
698,Flamengo,6
699,Paranaense,7
700,Corinthians,8
701,Fluminense,9
702,Bahia,10
703,São Paulo,11
704,Cruzeiro,12
705,Cuiabá EC,13
706,Fortaleza,14
707,Santos,15
708,Goiás,16
709,Internacional,17
710,Vasco da Gama,18
711,América (MG),19
712,Coritiba,20
693,Palmeiras,1
694,Botafogo,2
695,Grêmio,3
696,Mineiro,4
697,Bragantino,5
698,Flamengo,6
699,Paranaense,7
700,Bahia,8
701,Cuiabá EC,9
702,Corinthians,10
703,São Paulo,11
704,Fluminense,12
705,Fortaleza,13
706,Santos,14
707,Internacional,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Botafogo,1
694,Bragantino,2
695,Grêmio,3
696,Mineiro,4
697,Palmeiras,5
698,Flamengo,6
699,Paranaense,7
700,Fluminense,8
701,Fortaleza,9
702,Corinthians,10
703,São Paulo,11
704,Internacional,12
705,Bahia,13
706,Cuiabá EC,14
707,Santos,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Palmeiras,1
694,Bragantino,2
695,Mineiro,3
696,Grêmio,4
697,Botafogo,5
698,Paranaense,6
699,Flamengo,7
700,São Paulo,8
701,Bahia,9
702,Cuiabá EC,10
703,Fortaleza,11
704,Corinthians,12
705,Santos,13
706,Fluminense,14
707,Internacional,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Botafogo,1
694,Palmeiras,2
695,Flamengo,3
696,Bragantino,4
697,Mineiro,5
698,Grêmio,6
699,Paranaense,7
700,Cuiabá EC,8
701,Fluminense,9
702,São Paulo,10
703,Bahia,11
704,Corinthians,12
705,Santos,13
706,Internacional,14
707,Fortaleza,15
708,Cruzeiro,16
709,Goiás,17
710,Vasco da Gama,18
711,América (MG),19
712,Coritiba,20
693,Bragantino,1
694,Botafogo,2
695,Palmeiras,3
696,Mineiro,4
697,Grêmio,5
698,Flamengo,6
699,Paranaense,7
700,Fluminense,8
701,São Paulo,9
702,Fortaleza,10
703,Corinthians,11
704,Bahia,12
705,Santos,13
706,Internacional,14
707,Cuiabá EC,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,América (MG),19
712,Coritiba,20
693,Palmeiras,1
694,Bragantino,2
695,Botafogo,3
696,Mineiro,4
697,Grêmio,5
698,Paranaense,6
699,Flamengo,7
700,São Paulo,8
701,Cuiabá EC,9
702,Corinthians,10
703,Fortaleza,11
704,Fluminense,12
705,Bahia,13
706,Santos,14
707,Internacional,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Grêmio,1
694,Palmeiras,2
695,Botafogo,3
696,Bragantino,4
697,Mineiro,5
698,Flamengo,6
699,Paranaense,7
700,São Paulo,8
701,Corinthians,9
702,Cuiabá EC,10
703,Fortaleza,11
704,Santos,12
705,Cruzeiro,13
706,Fluminense,14
707,Bahia,15
708,Internacional,16
709,Goiás,17
710,Vasco da Gama,18
711,América (MG),19
712,Coritiba,20
693,Mineiro,1
694,Flamengo,2
695,Botafogo,3
696,Palmeiras,4
697,Bragantino,5
698,Grêmio,6
699,Paranaense,7
700,Fluminense,8
701,São Paulo,9
702,Corinthians,10
703,Bahia,11
704,Fortaleza,12
705,Santos,13
706,Cuiabá EC,14
707,Internacional,15
708,Cruzeiro,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Bragantino,1
694,Palmeiras,2
695,Flamengo,3
696,Botafogo,4
697,Mineiro,5
698,Grêmio,6
699,Paranaense,7
700,Fluminense,8
701,Bahia,9
702,São Paulo,10
703,Cruzeiro,11
704,Cuiabá EC,12
705,Fortaleza,13
706,Santos,14
707,Corinthians,15
708,Internacional,16
709,Vasco da Gama,17
710,Goiás,18
711,Coritiba,19
712,América (MG),20
693,Grêmio,1
694,Palmeiras,2
695,Botafogo,3
696,Bragantino,4
697,Mineiro,5
698,Flamengo,6
699,Paranaense,7
700,Cuiabá EC,8
701,Fortaleza,9
702,Fluminense,10
703,São Paulo,11
704,Cruzeiro,12
705,Bahia,13
706,Corinthians,14
707,Santos,15
708,Internacional,16
709,Goiás,17
710,Vasco da Gama,18
711,Coritiba,19
712,América (MG),20
693,Grêmio,1
694,Palmeiras,2
695,Bragantino,3
696,Botafogo,4
697,Mineiro,5
698,Flamengo,6
